targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,39,0,0.010855,0.00018248
0,0,39,0,0.0122375,0.000245145
2,0,39,1,0.01087,0.000155171
1,0,39,0,0.01252,0.000231095
2,0,39,1,0.0148775,0.00035954
1,0,39,0,0.013835,0.000291332
0,0,39,0,0.0129375,0.000247325
1,0,39,0,0.015765,0.000375237
1,0,39,0,0.0165375,0.000406649
1,0,39,0,0.0144625,0.000330133
0,0,39,0,0.0158825,0.000401414
1,0,39,0,0.0118925,0.000229061
2,0,39,1,0.0117125,0.000210205
2,0,39,1,0.015735,0.000412398
0,0,39,0,0.0123825,0.000263834
1,0,39,0,0.0110025,0.000190142
1,0,39,0,0.0087375,0.000102738
3,0,39,1,0.0107325,0.000175644
3,0,39,1,0.0107025,0.000175825
1,0,39,0,0.00993,0.000152454
1,0,39,0,0.0097825,0.000130754
1,0,39,0,0.012035,0.000254319
1,0,39,0,0.01167,0.000235228
1,0,39,0,0.0105825,0.000163731
0,0,39,0,0.00839,8.5614e-05
0,0,39,0,0.0085025,8.75168e-05
0,1,39,0,0.0082275,8.29633e-05
0,0,39,0,0.01343,0.000458321
1,0,39,0,0.00835,7.1533e-05
0,0,39,0,0.0077975,7.53602e-05
1,0,39,0,0.0161025,0.000374493
1,0,39,0,0.732247,20.5109
0,0,39,0,0.010085,0.000162661
0,0,39,0,0.0105125,0.000169774
0,0,39,0,0.018965,0.000781616
1,0,39,0,0.009455,0.000104042
1,0,39,0,0.0125525,0.000256267
2,0,39,1,0.0096725,0.000148812
1,0,39,0,0.008085,8.2106e-05
0,0,39,0,0.0129975,0.000268786
0,0,39,0,0.0098525,0.000129635
0,0,39,0,0.00888,0.000106831
0,0,39,0,0.0131425,0.000296532
0,0,39,0,0.0172475,0.000442738
2,0,39,1,0.012365,0.000243795
1,0,39,0,0.0127575,0.00027373
0,0,39,0,0.0117325,0.000212762
0,0,39,0,0.0089625,0.00011399
2,0,39,1,0.0115975,0.000208783
2,0,39,1,0.01303,0.00026814
3,0,39,1,0.0136725,0.000371564
1,0,39,0,0.01166,0.000212946
0,0,39,0,0.0129975,0.000260566
2,0,39,1,0.0113875,0.00018849
1,0,39,0,0.012185,0.000231701
1,0,39,0,0.0104575,0.000152663
2,0,39,1,0.010585,0.000175266
2,0,39,1,0.01367,0.000291544
0,0,39,0,0.01229,0.000303398
1,0,39,0,0.0098825,0.000147399
0,0,39,0,0.012265,0.000357643
0,0,39,0,0.0125425,0.000255723
1,0,39,0,0.00929,0.000115215
1,0,39,0,0.0106,0.000159406
0,0,39,0,0.0174125,0.000449156
