targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,39,0,0.0092275,0.000104944
0,0,39,0,0.00921,0.000127597
2,0,39,1,0.00938,0.000140533
1,0,39,0,0.0089975,0.000124662
3,0,39,1,0.009875,0.00015318
0,1,26,0,0.0108407,0.000200666
0,1,16,0,0.00988235,0.000144142
1,0,39,0,0.008725,0.000105334
1,0,39,0,0.008455,9.9141e-05
1,0,39,0,0.009025,0.000121589
0,0,39,0,0.0109925,0.000213168
1,0,39,0,0.0080725,8.43073e-05
2,0,39,1,0.0094975,0.000162691
1,0,39,0,0.01127,0.000206658
0,0,39,0,0.01222,0.000250672
2,0,39,1,0.0123875,0.000250527
1,0,39,0,0.0093025,0.000144258
0,1,10,0,0.00951818,0.000138126
2,0,39,1,0.0099525,0.000172687
2,0,39,1,0.0085175,0.000103174
0,1,13,0,0.0131214,0.000286288
1,0,39,0,0.0151225,0.000470462
0,0,39,0,0.011605,0.000250933
2,0,39,1,0.0089425,0.000131657
2,0,39,1,0.0095375,0.000203601
2,0,39,1,0.013425,0.000883023
0,0,39,0,0.0087,0.000114372
2,1,8,0,0.00646667,4.23311e-05
0,1,38,0,0.00932308,0.000137558
1,0,39,0,0.00953,0.000141618
1,0,39,0,0.009855,0.000153176
1,1,34,0,0.0107886,0.000189123
0,0,39,0,0.01147,0.000200577
0,0,39,0,0.012175,0.000237249
1,0,39,0,0.00933,0.000156685
1,0,39,0,0.008515,0.000112241
1,0,39,0,0.0087025,0.000115363
0,0,39,0,0.0100875,0.000161863
0,0,39,0,0.009405,0.000130056
1,0,39,0,0.0088625,0.000130947
2,0,39,1,0.006955,5.1303e-05
0,1,24,0,0.008144,8.88184e-05
0,0,39,0,0.0092025,0.000129647
0,0,39,0,0.009155,0.000120881
1,0,39,0,0.00844,9.2688e-05
1,1,14,0,0.00758667,5.986e-05
1,0,39,0,0.00914,0.000127081
0,0,39,0,0.0119425,0.000393296
4,0,39,1,0.0112,0.000375965
0,0,39,0,0.0189575,0.000492012
0,1,24,0,0.011672,0.000202463
0,0,39,0,0.024685,0.000712707
1,0,39,0,0.02011,0.000537432
1,0,39,0,0.011735,0.000205617
1,0,39,0,0.011905,0.000219519
0,0,39,0,0.0114575,0.000249477
3,0,39,1,0.01072,0.000216584
1,0,39,0,0.00949,0.000169045
0,0,39,0,0.00998,0.000147244
2,0,39,1,0.0097425,0.000157562
1,0,39,0,0.0083725,9.84242e-05
0,0,39,0,0.008495,0.000105599
0,0,39,0,0.0080625,9.19708e-05
1,0,39,0,0.0090425,0.000133564
0,0,39,0,0.008945,0.000120072
0,0,39,0,0.0091275,0.000121512
1,1,19,0,0.00828,9.4342e-05
0,1,31,0,0.00915312,0.000130966
0,0,39,0,0.01097,0.000247696
0,0,39,0,0.01065,0.000168981
2,0,39,1,0.007475,6.1366e-05
1,0,39,0,0.0079025,7.73783e-05
1,0,39,0,0.0112825,0.000323934
1,0,39,0,0.0101775,0.000190833
1,0,39,0,0.0082275,8.41803e-05
0,0,39,0,0.0085875,9.28763e-05
0,0,39,0,0.009195,0.000119479
1,0,39,0,0.00862,9.2176e-05
1,0,39,0,0.0099425,0.000139666
0,0,39,0,0.0094525,0.000126349
2,0,39,1,0.009485,0.000136439
1,1,25,0,0.0102923,0.000174435
0,0,39,0,0.00886,0.000107227
0,0,39,0,0.00785,7.9389e-05
1,0,39,0,0.00895,0.00011041
0,0,39,0,0.00977,0.000152972
0,0,39,0,0.00822,8.82405e-05
1,0,39,0,0.0096325,0.000139695
0,0,39,0,0.008215,9.688e-05
1,0,39,0,0.0103875,0.000157539
1,0,39,0,0.01218,0.000284528
2,1,27,0,0.012425,0.000239802
1,1,21,0,0.0135091,0.000277519
0,0,39,0,0.0118475,0.000211249
2,0,39,1,0.009435,0.000135518
0,0,39,0,0.0118375,0.00021484
1,0,39,0,0.010885,0.0001744
0,0,39,0,0.0125875,0.00025305
2,1,38,0,0.0154256,0.000374034
0,0,39,0,0.00974,0.000148072
1,0,39,0,0.0553375,0.0803592
2,0,39,1,0.00887,0.000116262
1,0,39,0,0.009255,0.00012037
0,0,39,0,0.00796,0.000127596
1,0,39,0,0.0088825,0.000106789
0,0,39,0,0.0078425,7.52968e-05
0,0,39,0,0.0079125,9.29732e-05
0,0,39,0,0.0075075,6.83298e-05
1,1,27,0,0.009075,0.000118971
0,0,39,0,0.00751,8.90955e-05
1,0,39,0,0.00983,0.000148018
1,1,9,0,0.01016,0.000159822
0,0,39,0,0.0132025,0.000268538
0,0,39,0,0.011265,0.000201155
0,0,39,0,0.010605,0.00018172
3,0,39,1,0.01023,0.000162757
1,0,39,0,0.009805,0.000157971
1,0,39,0,0.0135775,0.000392615
1,0,39,0,0.0096175,0.00015765
0,0,39,0,0.0096225,0.000192363
1,0,39,0,0.0072,6.54695e-05
2,0,39,1,0.0077575,7.61042e-05
0,0,39,0,0.0091625,8.67112e-05
2,0,39,1,0.0089125,8.20693e-05
1,0,39,0,0.0106,0.000152401
0,1,9,0,0.00952,9.4806e-05
2,1,25,0,0.00770769,6.18685e-05
0,0,39,0,0.008825,0.000120469
2,1,15,0,0.0181938,0.000944881
0,1,38,0,0.0116615,0.000391547
0,0,39,0,0.00778,8.32085e-05
0,0,39,0,0.0099675,0.000184279
0,0,39,0,0.007715,7.4266e-05
0,0,39,0,0.01057,0.000341248
1,0,39,0,0.0096675,0.000147065
0,0,39,0,0.0102475,0.000156635
0,0,39,0,0.008375,9.9537e-05
2,0,39,1,0.0101125,0.000155019
0,1,21,0,0.0100273,0.000228773
2,0,39,1,0.00872,0.000108038
0,0,39,0,0.00876,0.00011468
2,0,39,1,0.0099575,0.000150979
1,0,39,0,0.007775,8.647e-05
1,0,39,0,0.009295,0.000147276
1,0,39,0,0.00852,0.000101152
0,0,39,0,0.0081125,9.37022e-05
0,0,39,0,0.009755,0.00015484
2,0,39,1,0.00785,8.72755e-05
1,0,39,0,0.009155,0.000132425
0,0,39,0,0.00965,0.000152388
3,0,39,1,0.010125,0.00016406
0,0,39,0,0.00937,0.000136832
0,0,39,0,0.0089275,0.000119489
2,0,39,1,0.0085125,0.000107984
